"","Genus","C1_A","C10_A","C10_B","C10_C","C11_A","C11_B","C11_C","C12_A","C12_B","C12_C","C2_A","C2_B","C2_C","C3_A","C3_B","C4_A","C4_B","C4_C","C5_A","C5_B","C5_C","C6_B","C6_C","C7_A","C7_B","C7_C","C8_A","C8_B","C8_C","C9_A","C9_B","C9_C","J1_A","J1_B","J1_C","J10_A","J10_B","J10_C","J11_A","J11_B","J11_C","J12_A","J12_B","J12_C","J13_A","J13_B","J13_C","J14_A","J14_B","J14_C","J15_A","J15_B","J15_C","J16_A","J16_B","J16_C","J17_A","J17_B","J17_C","J18_A","J18_B","J18_C","J19_A","J19_B","J19_C","J2_A","J2_B","J2_C","J20_A","J20_B","J20_C","J21_A","J21_B","J21_C","J22_A","J22_B","J22_C","J23_A","J23_B","J23_C","J24_A","J24_B","J24_C","J3_A","J3_B","J3_C","J4_A","J4_B","J4_C","J5_A","J5_B","J5_C","J6_A","J6_B","J6_C","J7_A","J7_B","J7_C","J8_A","J8_B","J8_C","J9_A","J9_B","J9_C","M1_A","M1_B","M1_C","M10_A","M10_B","M10_C","M11_A","M11_B","M11_C","M12_A","M12_B","M12_C","M2_A","M2_B","M2_C","M3_A","M3_B","M3_C","M4_A","M4_B","M4_C","M5_A","M5_B","M5_C","M6_B","M6_C","M7_A","M7_B","M7_C","M8_A","M8_B","M8_C","M9_A","M9_B","M9_C"
"1","Ascomycota",862,779,738,389,1260,489,683,2011,3165,1936,2229,1519,1099,459,349,1607,992,987,1765,652,1406,837,1363,598,1224,355,718,602,829,3843,1541,912,476,397,345,910,711,379,587,313,85,310,482,372,420,764,233,71,880,176,145,240,313,269,18,1797,30,0,48,442,168,573,52,80,249,1129,259,185,586,111,60,138,211,251,224,94,63,329,916,62,108,180,1256,310,135,301,931,251,582,779,660,822,494,356,424,414,180,354,664,92,38,772,524,889,2121,927,904,3214,1774,1700,1407,803,746,548,1202,228,2093,795,242,276,576,235,837,393,12,2348,1161,242,763,5103,1315,739,174,2312,3443,620,983,618,1641
"2","Archaeorhizomycetes",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,28,0,0,29,7,0,0,8,0,36,45,13,31,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,32,0,0,0,0,2,0,65,22,30,0,0,3,61,0,0,0,0,5,0,0,0,0,0,0,0,0,0,121,52,0,1618,1351,0,0,22,0,6,0,2,0,0,0,29,0,9,8,0,0,0,0
"3","Archaeorhizomyces",226,3,72,13,10,12,2,133,23,67,6535,463,2419,3,14,3,0,38,16,230,9265,320,1556,18,91,17,906,248,441,154,3,4,71,33,0,133,173,32,529,235,918,2060,3204,3383,58,106,15,21,124,58,0,0,0,0,0,0,2,2,0,31,7,65,5,41,20,74,15,35,0,0,0,0,5,0,21,31,0,92,6,364,12,4,0,21,103,0,12,1686,1035,12,18,0,94,234,1316,3253,705,12483,13,11,86,264,99,40,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
"4","Dothideomycetes",4,18,69,10,10,35,30,1036,476,285,169,107,13,0,17,390,288,55,0,295,56,146,116,0,3,0,6,39,78,6,8,3,4,8,0,10,11,4,13,7,21,9,0,0,15,22,16,23,25,52,25,57,0,9,0,25,4,0,27,3,3,44,11,7,5,7,13,21,16,3,7,29,25,31,28,22,25,4,0,9,36,32,42,17,4,4,3,0,0,13,3,3,16,18,6,23,10,25,18,11,21,12,5,21,0,0,0,0,0,8,0,0,0,7,40,13,10,0,0,0,0,105,0,70,2,0,0,0,71,55,0,0,0,50,116,21,4,0,0
"5","Aplosporella",0,12,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
"6","Barriopsis",0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"7","Botryosphaeria",647,1706,1262,1103,728,516,826,1279,2344,924,1830,276,267,390,647,281,1168,138,225,83,1159,575,1024,1333,1203,1081,11,89,70,45,111,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,141,43,10,64,154,22,42,3,496,11,41,160,127,65,0,0,0,0,0,0,699,0,26,482,68,0,0,0,192,0,0,138,231,31
"8","Lasiodiplodia",28,149,121,19,35,11,23,6,94,102,109,37,0,145,32,59,72,15,377,79,176,33,48,0,75,0,143,32,6,8,38,31,6,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,33,0,0,0,7,0,0,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,13,5,0,0,0,0,150,3,168,92,27,129,16,0,44,54,82,22,215,266,0,0,33,38,92,59,0,8,83,35,78,13,571,156,0,88,171,9,56,4,0
"9","Macrophomina",0,45,22,17,22,0,0,15,70,10,0,0,0,19,63,23,28,0,5,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,17,0,68,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,5,0,20,0,0,0,0,0
"10","Neofusicoccum",0,48,160,11,0,0,0,0,20,21,8,0,0,24,0,0,4,0,22,0,0,4,3,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0
"11","Phyllosticta",0,0,14,0,0,0,0,0,0,14,4,0,6,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Capnodiales",14,202,298,22,16,0,28,0,70,59,136,43,21,0,26,0,7,0,318,16,15,17,64,23,170,15,32,8,13,17,15,66,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,137,2300,35,14,0,45,0,0,0,13,0,7,0,0,0,21,0,0,0,0,0,0,60,0,0,0,5,0,0,259,0,0,0,0,0,0,20,0,0,5,0,0,0,0,6,4,0,3,0,0,0,0,0,199,0,0,0,6,0,13,0,34,11,0,0,0,9,25,0,0,0,0,8,0,0,56,0,9,58,72,7,0,12,23,15,0,0,0,66
