Kingdom	Phylum	Class	Order	Family	Genus	C1_A	C1_B	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C3_C	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_A	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C
Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	8	27	0	0	8	18	38	0	0	23	16	0	0	0	0	0	29	0	0	25	0	0	0	0	0	0	0	0	33	0	0	18	0	0	52	0	0	37	0	0	19	0	0	0	0	0	16	0	0	0	0	0	36	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	Nitrososphaeria	Group_1.1c	Group_1.1c	Group_1.1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	35	0	0	25	10	0	27	0	21	72	0	5	37	25	63	37	7	94	63	0	0	33	12	0	75	0	17	92	0	2	12	0	0	105	6	0	61	0	0	92	24	0	128	0	0	80	25	0	42	0	0	31	0	0	69	0	0	44	3	0	34	12	0	94	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Nitrosotaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	69	12	21	0	6	0	12	29	22	19	0	14	33	12	0	15	0	19	25	0	22	20	25	13	37	0	14	31	10	0	25	0	17	0	0	27	12	19	0	28	0	13	25	0	0	67	13	24	27	15	14	0	0	25	23	0	0	44	17	0	21	9	0	17	0	0	32	8	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II	Marine_Group_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4	0	0	17	0	0	0	0	0	10	0	0	22	12	11	6	2	11	14	0	0	36	0	0	27	0	0	9	0	0	0	0	0	30	3	3	48	0	0	16	6	0	34	0	0	8	0	0	21	0	0	4	0	0	36	0	0	18	0	0	4	7	0	41	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata	Thermoplasmata	Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	1511	998	665	425	413	484	488	169	1315	650	538	1342	1072	205	511	599	1043	401	394	394	321	1169	493	1221	699	463	504	599	749	510	179	1058	417	1129	690	1304	627	949	506	949	472	869	632	85	466	45	469	554	653	71	590	660	207	697	1158	864	950	954	479	923	394	320	420	406	194	595	463	2461	317	968	1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	22	0	0	0	7	13	5	7	0	11	0	25	13	18	0	26	0	0	11	0	18	16	5	22	18	0	11	0	0	5	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Acidobacteriae	18	15	12	17	14	25	10	21	24	18	13	12	15	16	9	33	13	26	10	6	14	14	18	0	0	15	9	0	16	0	12	11	23	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	29	9	0	0	10	13	15	40	11	8	7	6	0	0	0	0	0	0	7	15	0	0	15	10	5	0	0	7	0	0	37	33	0
Bacteria	Acidobacteriota	Acidobacteriae	AKIW659	AKIW659	AKIW659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	0	0	0	96	0	6	0	0	0	0	0	0	12	0	0	10	5	24	15	105	235	55	0	0	0	0	0	0	0	0	0	87	41	97	57	56	42	23	25	0	0	0	41	0	0	0	0	8	0	0	0	0	0	15	0	9	12	6	0	0	0	15	16	30
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	0	0	0	0	0	13	0	0	0	0	13	42	23	7	8	0	0	17	0	0	0	0	0	98	48	0	0	0	17	0	0	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	22	54	30	7	0	0	0	33	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriales	Acidobacteriales	72	130	509	651	871	90	735	851	739	314	459	87	277	371	499	1017	1608	661	589	923	38	351	535	87	73	248	785	1009	14	27	125	232	1263	1582	3114	3557	9002	2981	6028	10198	4607	6981	6212	12150	7774	5825	2858	4513	2107	5369	7980	7195	11423	4350	6545	14953	2776	10875	7842	21289	9123	5549	6385	5804	4764	19964	4383	3622	7831	7481	7031	13063	4065	7081	12025	4283	10330	13004	3803	6392	11099	3888	5291	11325	1437	5241	6775	5440	3249	19549	5494	3126	9286	5623	4298	9304	3746	3897	3566	2060	6022	3938	8428	3651	14681	4069	8	629	49	455	353	2735	43	61	39	56	89	26	294	101	47	522	344	188	0	113	6	240	78	0	172	259	256	54	381	97	391	697	1118	529	814	828
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacteriaceae_(Subgroup_1)	739	1226	682	630	573	405	1157	569	237	91	198	724	447	579	1537	336	265	253	170	101	185	181	123	804	302	418	605	213	291	69	125	281	792	182	2222	1667	42	2157	1485	806	1321	2480	286	5583	1425	1046	2134	1115	140	1006	520	468	276	75	412	400	16	112	1009	550	183	1161	908	400	828	187	194	1581	2840	1455	1237	336	38	261	380	102	1044	586	278	515	317	297	1123	916	53	1449	955	596	1854	1162	1556	3672	2390	525	3893	1302	745	1530	1427	602	994	1376	91	1815	923	360	58	60	30	141	93	23	59	83	41	516	426	172	315	118	70	48	59	102	59	51	0	51	98	0	67	125	50	15	38	15	70	22	6	325	280	80
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidicapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	22	0	0	0	0	0	0	0	0	0	19	0	19	0	0	0	9	0	0	0	0	0	0	0	21	13	0	9	10	0	0	0	0	0	7	0	0	0	0	0	0	0	10	40	0	0	7	0	0	0	34	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
