OTU_ID	C1_A	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	107	3161	4382	8537	13515	167	151	521	1886	2143	3057	28	260	1266	2074	6597	7911	5364	1423	2978	1749	1693	3353	13175	31657	33402	1520	1740	5260	2073	14960	9330	494	1538	3087	2613	4998	10947	6055	18745	16103	2996	4856	41747	2482	5035	2091	613	680	374	3524	1109	5801	407	1503	1861	1366	2011	4409	2244	4168	24337	614	1432	1104	3268	5206	35861	2009	3610	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	;Filobasidiella	Filobasidiella	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Highly Probable	NULL	b'Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)'
244	2914	3184	3574	1462	4668	2433	2767	4242	3628	4296	3680	3565	2625	733	3377	1921	2963	1726	3684	1165	3623	1480	2115	5778	3135	1480	3801	3084	1258	3502	4695	2698	106	379	56	45	2	0	19	72	2	11	0	5	170	157	35	17	0	3	26	0	6	24	8	148	2	10	0	10	89	0	37	0	0	140	49	10	9	19	0	3	32	3	112	64	0	0	0	48	26	54	36	21	42	0	39	21	14	22	32	7	17	6	15	13	33	10	177	22	0	12	0	0	24138	5948	19183	18901	6274	10213	9500	5006	7260	12980	9385	2925	12766	10484	25959	1291	3837	2851	10248	6133	861	5633	3025	942	6303	3630	10527	5355	11921	7163	13124	11724	12197	5767	3571	;Fusarium	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'
484	1007	996	653	713	2588	3317	2287	2610	1406	994	3054	2697	3125	2329	3148	2225	2433	1089	819	1451	1520	1120	2545	480	1387	1189	1898	2627	1585	828	1948	1335	1590	563	5516	3094	2238	2493	1919	5939	3777	1846	2168	2926	985	2073	4576	4693	3460	5242	5052	10289	4809	4635	13093	3324	2551	1500	8533	2680	3319	3183	2511	8218	7972	1889	997	1132	2819	4075	6247	1502	3669	5141	5162	2917	6225	5329	4053	2219	3694	5178	3885	3650	935	1574	857	935	1792	1570	1653	6214	3118	4376	3672	2695	3961	1919	1649	2283	4437	1791	5056	2817	2480	568	668	361	551	129	354	1593	512	1619	453	504	648	598	591	0	786	343	856	216	25	213	621	212	911	210	374	1489	1851	540	2161	1801	1281	427	455	;Mortierella	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'
452	123	0	0	0	0	0	0	0	5	3	69	22	22	0	7	0	0	0	27	118	91	0	3	0	17	3	11	16	0	14	7	5	1000	6316	0	1500	1028	1365	1081	3690	289	1074	1358	1415	1532	358	127	3078	2505	2638	633	283	2425	1316	96	387	1600	1128	8684	2077	1343	777	2292	419	608	3283	2319	2728	798	1268	5065	1184	932	428	3405	2711	1747	670	428	120	3461	3488	308	1029	455	374	1459	1086	1253	1629	875	1612	1750	1810	1851	5319	8361	4242	824	1156	196	502	1634	330	276	42	102	0	4	3	16	14	97	6	160	0	4836	6494	815	22	1968	98	3265	349	74	11	0	0	38	17	13	48	10	0	74	0	63	19	13	;Apiotrichum	Apiotrichum	13	Saprotroph	Soil Saprotroph	Microfungus	NULL	Possible	From forest soil (Calduch et al. 2002)	b'Calduch M, et al. 2002. Mycologia 94:355-361 ((https://doi.org/10.1080/15572536.2003.11833241))'
234	32	65	108	15	293	102	319	179	180	37	90	7	46	12	172	76	50	51	40	29	65	140	297	56	66	17	207	90	100	93	480	114	560	713	0	1049	901	642	1405	1688	438	115	787	1435	1002	1361	429	4977	1122	1205	1857	319	2928	2968	80	1844	1175	546	131	2651	3057	766	5412	4440	554	657	1149	410	2332	3663	923	1047	4045	537	831	1327	27	1492	12683	644	748	1403	995	663	367	105	637	455	509	1488	1020	636	1457	707	503	1394	1491	847	7698	2925	860	1050	1218	557	66	18	170	119	40	52	507	149	58	131	238	108	277	128	245	50	85	184	361	39	27	42	79	10	131	222	47	156	43	319	301	68	1166	286	121	;Trichoderma	Trichoderma	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
48	26	76	266	20	541	63	105	29	264	570	63	192	133	20	10	0	7	7	69	33	0	75	23	637	2101	452	1016	189	37	4	10	7	911	110	0	197	42	71	444	0	18	175	242	27	73	216	9	523	0	15	465	1230	332	115	0	41	3	3	0	2431	2725	693	126	242	981	415	1599	3	14	40	11	12	524	10	0	633	21	60	588	36238	19	10	0	279	0	7	1385	8	113	706	97	295	87	21	1272	464	5	181	2355	6386	50	1200	33	8642	0	49	775	557	1345	4833	1041	343	854	219	949	559	93	123	80	0	10	7	21	0	0	15	14	0	645	4385	1236	2045	1122	838	339	1817	1249	35	260	;Didymellaceae	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Possible	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
260	355	458	625	267	1013	356	471	1262	766	1643	4903	750	794	285	1139	407	504	336	814	505	409	575	1069	981	612	221	5605	1170	2158	507	512	219	0	16	21	59	0	23	27	33	27	5	25	75	32	13	18	36	68	26	15	17	54	30	7	22	62	59	124	0	15	34	30	47	48	6	0	14	10	34	35	105	128	261	80	87	0	54	0	12	168	187	81	27	19	0	18	42	40	50	88	0	76	67	71	57	17	0	12	7	268	29	30	38	1339	823	766	1185	729	42	10176	4621	4589	5800	4696	264	751	1047	408	107	994	2840	2071	1084	519	5527	378	78	681	195	437	938	2388	1130	953	496	1200	462	581	;Purpureocillium	Purpureocillium	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
128	430	62	131	394	101	64	81	737	261	236	81	102	78	22	107	205	252	131	62	42	86	43	71	827	772	361	57	52	36	28	156	108	1077	991	1226	862	648	1628	310	114	422	532	1024	1006	435	224	112	934	1420	1748	211	282	421	445	118	172	186	371	320	63	155	134	873	645	5133	1817	331	330	54	249	31	644	1214	463	204	1839	909	1069	184	1358	332	1738	560	685	608	856	192	390	2109	567	546	1283	1059	2025	1364	1187	1470	1129	152	175	57	320	530	268	718	414	352	491	39	46	339	267	122	398	406	324	185	130	394	61	369	900	374	325	66	395	881	130	117	60	77	149	238	696	1338	274	1562	4769	1295	;Talaromyces	Talaromyces	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
247	5	0	11	36	15	31	71	8	4	8	5	4	25	5	21	0	0	0	0	0	7	0	0	5	64	74	3	15	26	28	26	33	1248	1719	59	1072	791	232	1739	812	220	809	976	717	1178	2014	781	1549	723	1857	369	89	260	1024	4	251	749	523	45	2740	961	499	847	99	121	2556	1287	1073	787	472	107	383	572	202	365	2553	41	671	298	49	559	607	92	2120	1336	1389	1814	1284	2485	2228	1994	460	1059	671	525	875	1482	651	6383	792	219	2168	722	447	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	452	152	0	0	10	3	0	0	;Ilyonectria	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
348	4613	2654	9624	695	133	71	318	3543	8231	6190	3915	1267	453	404	6502	367	1853	66	126	176	2184	787	604	1107	2102	226	851	2616	4041	462	356	196	0	0	0	0	0	0	42	0	23	0	5	5	0	0	0	0	0	0	9	0	17	0	0	0	0	0	273	0	0	14	0	0	0	0	8	0	0	55	141	0	4	0	50	0	0	0	0	0	0	0	44	0	0	69	0	0	143	0	0	0	0	0	0	0	0	0	3	0	34	0	0	0	0	0	11	10	7	0	29	12	13	9	375	92	1512	558	1044	0	102	122	30	20	14	24	75	0	20	0	0	0	0	10	0	13	50	0	7	;Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)'
