Kingdom	Phylum	Class	Order	Family	Genus	C1_A	C1_B	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C3_C	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_A	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C
Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	7	0	0	0	0	8	25	0	0	8	18	38	0	0	23	16	0	0	0	0	0	28	0	0	25	0	0	0	0	0	0	0	0	33	0	0	16	0	0	52	0	0	37	0	0	19	0	0	0	0	0	15	0	0	0	0	0	36	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	Nitrososphaeria	Group_1.1c	Group_1.1c	Group_1.1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	35	0	0	24	10	0	27	0	20	71	0	5	37	14	61	37	6	71	42	0	0	34	12	0	53	0	17	66	0	2	0	0	0	80	6	0	60	0	0	65	25	0	104	0	0	80	25	0	42	0	0	30	0	0	54	0	0	45	3	0	34	12	0	72	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Nitrosotaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	12	21	0	6	0	12	29	24	19	0	14	31	12	0	15	0	19	25	0	22	19	26	13	37	0	14	30	10	0	28	0	17	0	0	27	11	17	0	27	0	13	25	0	0	67	14	23	27	15	14	0	0	25	23	0	0	42	17	0	20	9	0	17	0	0	32	0	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II	Marine_Group_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4	0	0	17	0	0	0	0	0	10	0	0	23	12	11	6	2	0	13	0	0	35	0	0	27	0	0	9	0	0	0	0	0	30	3	3	47	0	0	17	6	0	34	0	0	8	0	0	20	0	0	4	0	0	36	0	0	18	0	0	4	7	0	41	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata	Thermoplasmata	Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	1488	982	655	403	406	480	483	171	1299	633	534	1318	1055	204	501	587	1033	392	389	390	316	1149	491	1213	693	458	490	593	738	505	172	1051	413	1114	682	1287	622	936	499	941	463	865	625	84	461	45	469	550	652	71	583	656	208	685	1144	856	934	943	465	911	390	319	417	396	193	587	455	2419	315	955	1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	22	0	0	0	7	13	5	7	0	10	0	24	13	16	0	25	0	0	11	0	18	16	5	22	17	0	11	0	0	5	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Acidobacteriae	18	15	12	17	14	24	10	21	24	18	13	12	15	16	10	32	13	25	9	6	14	14	18	0	0	15	9	0	16	0	12	11	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	29	9	0	0	10	13	15	40	11	7	7	6	0	0	0	0	0	0	7	15	0	0	15	8	5	0	0	7	0	0	37	33	0
Bacteria	Acidobacteriota	Acidobacteriae	AKIW659	AKIW659	AKIW659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	0	0	0	94	0	6	0	0	0	0	0	0	12	0	0	10	5	24	15	104	232	54	0	0	0	0	0	0	0	0	0	84	41	98	56	55	42	23	24	0	0	0	40	0	0	0	0	8	0	0	0	0	0	15	0	9	12	6	0	0	0	15	16	27
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	0	0	0	0	0	13	0	0	0	0	13	42	23	7	8	0	0	17	0	0	0	0	0	97	48	0	0	0	15	0	0	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	23	54	29	7	0	0	0	31	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriales	Acidobacteriales	70	130	562	640	977	89	722	839	727	309	457	85	273	364	491	1007	2319	669	580	912	38	349	523	87	71	258	777	998	13	27	125	227	1236	1558	3159	3608	9514	3020	6060	10762	4816	7073	6617	12147	7777	6114	2819	4581	2125	5507	8461	7344	12455	4469	6910	15106	2907	11279	8137	21721	9892	5554	6509	6230	4786	20493	4688	3604	7955	7762	7037	14327	4344	7793	13930	5141	11340	13548	3977	6642	10971	3976	5394	11584	1458	5526	6918	5760	3233	20000	5563	3169	9435	5948	4283	9329	4033	3947	3583	2066	6120	4317	8749	3673	15638	4317	8	613	49	449	346	2688	43	60	39	55	90	26	289	100	46	515	341	187	0	109	6	237	78	0	169	254	253	53	376	97	383	689	1103	519	811	817
