,OTU_ID,sample,Sample_Depth,plant_nr,Site,abun,Guild
1,14,C1_A,,C1,Cerro Alto,44.6632764,Undefined Saprotroph
2,48,C1_A,,C1,Cerro Alto,0.076427879,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
3,73,C1_A,,C1,Cerro Alto,0.396837062,Undefined Saprotroph
4,128,C1_A,,C1,Cerro Alto,1.26399953,Undefined Saprotroph
5,156,C1_A,,C1,Cerro Alto,NA,Endophyte
6,160,C1_A,,C1,Cerro Alto,15.15329669,Undefined Saprotroph
7,234,C1_A,,C1,Cerro Alto,0.094065081,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
8,244,C1_A,,C1,Cerro Alto,8.565801464,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
9,247,C1_A,,C1,Cerro Alto,0.014697669,Plant Pathogen
10,260,C1_A,,C1,Cerro Alto,1.043534495,Fungal Parasite
11,348,C1_A,,C1,Cerro Alto,13.56006937,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
12,365,C1_A,,C1,Cerro Alto,NA,Undefined Saprotroph
13,449,C1_A,,C1,Cerro Alto,NA,Undefined Saprotroph
14,452,C1_A,,C1,Cerro Alto,0.361562656,Soil Saprotroph
15,472,C1_A,,C1,Cerro Alto,0.02351627,Arbuscular Mycorrhizal
16,482,C1_A,,C1,Cerro Alto,0.264558041,Undefined Saprotroph
17,484,C1_A,,C1,Cerro Alto,2.960110526,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
18,1_Other,C1_A,,C1,Cerro Alto,11.55824686,Other
19,14,C10_A,,C10,Cerro Alto,1.20310589,Undefined Saprotroph
20,48,C10_A,,C10,Cerro Alto,0.216160869,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
21,73,C10_A,,C10,Cerro Alto,1.348161211,Undefined Saprotroph
22,128,C10_A,,C10,Cerro Alto,0.176341762,Undefined Saprotroph
23,156,C10_A,,C10,Cerro Alto,NA,Endophyte
24,160,C10_A,,C10,Cerro Alto,2.872664183,Undefined Saprotroph
25,234,C10_A,,C10,Cerro Alto,0.184874428,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
26,244,C10_A,,C10,Cerro Alto,9.05600273,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
27,247,C10_A,,C10,Cerro Alto,NA,Plant Pathogen
28,260,C10_A,,C10,Cerro Alto,1.302653659,Fungal Parasite
29,348,C10_A,,C10,Cerro Alto,7.54856509,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
30,365,C10_A,,C10,Cerro Alto,NA,Undefined Saprotroph
31,449,C10_A,,C10,Cerro Alto,NA,Undefined Saprotroph
32,452,C10_A,,C10,Cerro Alto,NA,Soil Saprotroph
33,472,C10_A,,C10,Cerro Alto,NA,Arbuscular Mycorrhizal
34,482,C10_A,,C10,Cerro Alto,0.199095537,Undefined Saprotroph
35,484,C10_A,,C10,Cerro Alto,2.832845075,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
36,1_Other,C10_A,,C10,Cerro Alto,73.05952957,Other
37,14,C10_B,,C10,Cerro Alto,1.421357771,Undefined Saprotroph
38,48,C10_B,,C10,Cerro Alto,0.710678885,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
39,73,C10_B,,C10,Cerro Alto,1.234337011,Undefined Saprotroph
40,128,C10_B,,C10,Cerro Alto,0.349995992,Undefined Saprotroph
41,156,C10_B,,C10,Cerro Alto,NA,Endophyte
42,160,C10_B,,C10,Cerro Alto,6.502978974,Undefined Saprotroph
43,234,C10_B,,C10,Cerro Alto,0.288546314,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
44,244,C10_B,,C10,Cerro Alto,9.548745625,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
45,247,C10_B,,C10,Cerro Alto,0.029388976,Plant Pathogen
46,260,C10_B,,C10,Cerro Alto,1.669828208,Fungal Parasite
47,348,C10_B,,C10,Cerro Alto,25.71268268,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
48,365,C10_B,,C10,Cerro Alto,NA,Undefined Saprotroph
49,449,C10_B,,C10,Cerro Alto,NA,Undefined Saprotroph
50,452,C10_B,,C10,Cerro Alto,NA,Soil Saprotroph
51,472,C10_B,,C10,Cerro Alto,NA,Arbuscular Mycorrhizal
52,482,C10_B,,C10,Cerro Alto,0.261829063,Undefined Saprotroph
53,484,C10_B,,C10,Cerro Alto,1.744636512,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
54,1_Other,C10_B,,C10,Cerro Alto,50.52499399,Other
55,14,C10_C,,C10,Cerro Alto,0.991121996,Undefined Saprotroph
56,48,C10_C,,C10,Cerro Alto,0.076534517,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
57,73,C10_C,,C10,Cerro Alto,0.386499311,Undefined Saprotroph
58,128,C10_C,,C10,Cerro Alto,1.507729986,Undefined Saprotroph
59,156,C10_C,,C10,Cerro Alto,NA,Endophyte
60,160,C10_C,,C10,Cerro Alto,49.69768866,Undefined Saprotroph
61,234,C10_C,,C10,Cerro Alto,0.057400888,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
62,244,C10_C,,C10,Cerro Alto,5.594673198,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
63,247,C10_C,,C10,Cerro Alto,0.137762131,Plant Pathogen
64,260,C10_C,,C10,Cerro Alto,1.021735803,Fungal Parasite
65,348,C10_C,,C10,Cerro Alto,2.659574468,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
66,365,C10_C,,C10,Cerro Alto,NA,Undefined Saprotroph
67,449,C10_C,,C10,Cerro Alto,NA,Undefined Saprotroph
68,452,C10_C,,C10,Cerro Alto,NA,Soil Saprotroph
69,472,C10_C,,C10,Cerro Alto,NA,Arbuscular Mycorrhizal
70,482,C10_C,,C10,Cerro Alto,0.681157202,Undefined Saprotroph
71,484,C10_C,,C10,Cerro Alto,2.728455533,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
72,1_Other,C10_C,,C10,Cerro Alto,34.45966631,Other
73,14,C11_A,,C11,Cerro Alto,0.537513998,Undefined Saprotroph
74,48,C11_A,,C11,Cerro Alto,1.730923052,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
75,73,C11_A,,C11,Cerro Alto,2.041273396,Undefined Saprotroph
76,128,C11_A,,C11,Cerro Alto,0.323148296,Undefined Saprotroph
77,156,C11_A,,C11,Cerro Alto,NA,Endophyte
78,160,C11_A,,C11,Cerro Alto,1.286194209,Undefined Saprotroph
79,234,C11_A,,C11,Cerro Alto,0.937450008,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
80,244,C11_A,,C11,Cerro Alto,14.93521037,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
81,247,C11_A,,C11,Cerro Alto,0.047992321,Plant Pathogen
82,260,C11_A,,C11,Cerro Alto,3.241081427,Fungal Parasite
83,348,C11_A,,C11,Cerro Alto,0.425531915,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
84,365,C11_A,,C11,Cerro Alto,NA,Undefined Saprotroph
85,449,C11_A,,C11,Cerro Alto,NA,Undefined Saprotroph
86,452,C11_A,,C11,Cerro Alto,NA,Soil Saprotroph
87,472,C11_A,,C11,Cerro Alto,NA,Arbuscular Mycorrhizal
88,482,C11_A,,C11,Cerro Alto,0.303951368,Undefined Saprotroph
89,484,C11_A,,C11,Cerro Alto,8.280275156,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
90,1_Other,C11_A,,C11,Cerro Alto,65.90945449,Other
91,14,C11_B,,C11,Cerro Alto,0.337837838,Undefined Saprotroph
92,48,C11_B,,C11,Cerro Alto,0.332559122,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
93,73,C11_B,,C11,Cerro Alto,0.200591216,Undefined Saprotroph
94,128,C11_B,,C11,Cerro Alto,0.337837838,Undefined Saprotroph
95,156,C11_B,,C11,Cerro Alto,NA,Endophyte
96,160,C11_B,,C11,Cerro Alto,38.34987331,Undefined Saprotroph
97,234,C11_B,,C11,Cerro Alto,0.538429054,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
98,244,C11_B,,C11,Cerro Alto,12.84311655,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
99,247,C11_B,,C11,Cerro Alto,0.163640203,Plant Pathogen
100,260,C11_B,,C11,Cerro Alto,1.879222973,Fungal Parasite
101,348,C11_B,,C11,Cerro Alto,0.374788851,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
102,365,C11_B,,C11,Cerro Alto,NA,Undefined Saprotroph
103,449,C11_B,,C11,Cerro Alto,NA,Undefined Saprotroph
104,452,C11_B,,C11,Cerro Alto,NA,Soil Saprotroph
105,472,C11_B,,C11,Cerro Alto,NA,Arbuscular Mycorrhizal
106,482,C11_B,,C11,Cerro Alto,3.098606419,Undefined Saprotroph
107,484,C11_B,,C11,Cerro Alto,17.50950169,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
108,1_Other,C11_B,,C11,Cerro Alto,24.03399493,Other
109,14,C11_C,,C11,Cerro Alto,0.72815534,Undefined Saprotroph
110,48,C11_C,,C11,Cerro Alto,0.471952535,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
111,73,C11_C,,C11,Cerro Alto,0.206760158,Undefined Saprotroph
112,128,C11_C,,C11,Cerro Alto,0.36407767,Undefined Saprotroph
113,156,C11_C,,C11,Cerro Alto,NA,Endophyte
114,160,C11_C,,C11,Cerro Alto,28.91945343,Undefined Saprotroph
115,234,C11_C,,C11,Cerro Alto,1.433836749,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
116,244,C11_C,,C11,Cerro Alto,12.437073,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
117,247,C11_C,,C11,Cerro Alto,0.319129809,Plant Pathogen
118,260,C11_C,,C11,Cerro Alto,2.117044229,Fungal Parasite
119,348,C11_C,,C11,Cerro Alto,1.429341963,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
120,365,C11_C,,C11,Cerro Alto,NA,Undefined Saprotroph
121,449,C11_C,,C11,Cerro Alto,NA,Undefined Saprotroph
122,452,C11_C,,C11,Cerro Alto,NA,Soil Saprotroph
123,472,C11_C,,C11,Cerro Alto,NA,Arbuscular Mycorrhizal
124,482,C11_C,,C11,Cerro Alto,1.67206041,Undefined Saprotroph
125,484,C11_C,,C11,Cerro Alto,10.27957569,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
126,1_Other,C11_C,,C11,Cerro Alto,39.62153901,Other
127,14,C12_A,,C12,Cerro Alto,1.818006926,Undefined Saprotroph
128,48,C12_A,,C12,Cerro Alto,0.139476722,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
129,73,C12_A,,C12,Cerro Alto,0.572335514,Undefined Saprotroph
130,128,C12_A,,C12,Cerro Alto,3.544632551,Undefined Saprotroph
131,156,C12_A,,C12,Cerro Alto,NA,Endophyte
132,160,C12_A,,C12,Cerro Alto,1.231242786,Undefined Saprotroph
133,234,C12_A,,C12,Cerro Alto,0.860908042,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
134,244,C12_A,,C12,Cerro Alto,20.40207772,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
135,247,C12_A,,C12,Cerro Alto,0.038476337,Plant Pathogen
136,260,C12_A,,C12,Cerro Alto,6.06964217,Fungal Parasite
137,348,C12_A,,C12,Cerro Alto,17.04020777,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
138,365,C12_A,,C12,Cerro Alto,NA,Undefined Saprotroph
139,449,C12_A,,C12,Cerro Alto,NA,Undefined Saprotroph
140,452,C12_A,,C12,Cerro Alto,NA,Soil Saprotroph
141,472,C12_A,,C12,Cerro Alto,NA,Arbuscular Mycorrhizal
142,482,C12_A,,C12,Cerro Alto,2.972297037,Undefined Saprotroph
143,484,C12_A,,C12,Cerro Alto,12.55290496,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
144,1_Other,C12_A,,C12,Cerro Alto,32.75779146,Other
145,14,C12_B,,C12,Cerro Alto,1.791409378,Undefined Saprotroph
