,function.,variable,copy_number,plant_nr
1,09101 Carbohydrate metabolism,C1_A,17.28783227,C1
2,09102 Energy metabolism,C1_A,8.521162561,C1
3,09103 Lipid metabolism,C1_A,4.657447929,C1
4,09104 Nucleotide metabolism,C1_A,3.836308803,C1
5,09105 Amino acid metabolism,C1_A,9.664504782,C1
6,09106 Metabolism of other amino acids,C1_A,1.548051139,C1
7,09107 Glycan biosynthesis and metabolism,C1_A,3.31778168,C1
8,09108 Metabolism of cofactors and vitamins,C1_A,5.292841469,C1
9,09122 Translation,C1_A,13.40728641,C1
10,09124 Replication and repair,C1_A,1.142079886,C1
11,09131 Membrane transport,C1_A,1.991518409,C1
12,09132 Signal transduction,C1_A,1.179846954,C1
13,09142 Cell motility,C1_A,3.017271156,C1
14,09181 Protein families: metabolism,C1_A,2.231095418,C1
15,09182 Protein families: genetic information processing,C1_A,9.406361885,C1
16,09183 Protein families: signaling and cellular processes,C1_A,4.051411821,C1
17,09191 Unclassified: metabolism,C1_A,5.260534053,C1
18,Other,C1_A,4.186663379,C1
19,09101 Carbohydrate metabolism,C1_B,17.27543615,C1
20,09102 Energy metabolism,C1_B,8.439367741,C1
21,09103 Lipid metabolism,C1_B,4.629605158,C1
22,09104 Nucleotide metabolism,C1_B,3.857659195,C1
23,09105 Amino acid metabolism,C1_B,9.668023525,C1
24,09106 Metabolism of other amino acids,C1_B,1.525499385,C1
25,09107 Glycan biosynthesis and metabolism,C1_B,3.388561659,C1
26,09108 Metabolism of cofactors and vitamins,C1_B,5.220840132,C1
27,09122 Translation,C1_B,13.33499783,C1
28,09124 Replication and repair,C1_B,1.148335565,C1
29,09131 Membrane transport,C1_B,1.904152122,C1
30,09132 Signal transduction,C1_B,1.25036436,C1
31,09142 Cell motility,C1_B,3.025953106,C1
32,09181 Protein families: metabolism,C1_B,2.230550321,C1
33,09182 Protein families: genetic information processing,C1_B,9.464155783,C1
34,09183 Protein families: signaling and cellular processes,C1_B,4.247485508,C1
35,09191 Unclassified: metabolism,C1_B,5.223124731,C1
36,Other,C1_B,4.165887724,C1
37,09101 Carbohydrate metabolism,C10_A,17.1062058,C10
38,09102 Energy metabolism,C10_A,8.327687933,C10
39,09103 Lipid metabolism,C10_A,4.561173016,C10
40,09104 Nucleotide metabolism,C10_A,3.779832517,C10
41,09105 Amino acid metabolism,C10_A,9.8622398,C10
42,09106 Metabolism of other amino acids,C10_A,1.64751056,C10
43,09107 Glycan biosynthesis and metabolism,C10_A,3.289160677,C10
44,09108 Metabolism of cofactors and vitamins,C10_A,5.1923721,C10
45,09122 Translation,C10_A,13.04739776,C10
46,09124 Replication and repair,C10_A,1.174693328,C10
47,09131 Membrane transport,C10_A,1.843576381,C10
48,09132 Signal transduction,C10_A,1.371609758,C10
49,09142 Cell motility,C10_A,3.022451697,C10
50,09181 Protein families: metabolism,C10_A,2.332797848,C10
51,09182 Protein families: genetic information processing,C10_A,9.373280497,C10
52,09183 Protein families: signaling and cellular processes,C10_A,4.308557939,C10
53,09191 Unclassified: metabolism,C10_A,5.329487708,C10
54,Other,C10_A,4.429964685,C10
55,09101 Carbohydrate metabolism,C10_B,17.21336842,C10
56,09102 Energy metabolism,C10_B,8.376883207,C10
57,09103 Lipid metabolism,C10_B,4.607458104,C10
58,09104 Nucleotide metabolism,C10_B,3.797282686,C10
59,09105 Amino acid metabolism,C10_B,9.827887144,C10
60,09106 Metabolism of other amino acids,C10_B,1.614997375,C10
61,09107 Glycan biosynthesis and metabolism,C10_B,3.236134112,C10
62,09108 Metabolism of cofactors and vitamins,C10_B,5.257216586,C10
63,09122 Translation,C10_B,13.24478868,C10
64,09124 Replication and repair,C10_B,1.165567392,C10
65,09131 Membrane transport,C10_B,1.930302705,C10
66,09132 Signal transduction,C10_B,1.291058173,C10
67,09142 Cell motility,C10_B,2.97229351,C10
68,09181 Protein families: metabolism,C10_B,2.328148903,C10
69,09182 Protein families: genetic information processing,C10_B,9.373571743,C10
70,09183 Protein families: signaling and cellular processes,C10_B,4.119919614,C10
71,09191 Unclassified: metabolism,C10_B,5.287315009,C10
72,Other,C10_B,4.355806639,C10
73,09101 Carbohydrate metabolism,C10_C,16.87700575,C10
74,09102 Energy metabolism,C10_C,8.479264297,C10
75,09103 Lipid metabolism,C10_C,4.520061687,C10
76,09104 Nucleotide metabolism,C10_C,3.829475935,C10
77,09105 Amino acid metabolism,C10_C,9.747322942,C10
78,09106 Metabolism of other amino acids,C10_C,1.59949494,C10
79,09107 Glycan biosynthesis and metabolism,C10_C,3.514617845,C10
80,09108 Metabolism of cofactors and vitamins,C10_C,5.137079428,C10
81,09122 Translation,C10_C,13.55568084,C10
82,09124 Replication and repair,C10_C,1.114445023,C10
83,09131 Membrane transport,C10_C,1.839036742,C10
84,09132 Signal transduction,C10_C,1.295920503,C10
85,09142 Cell motility,C10_C,3.024204321,C10
86,09181 Protein families: metabolism,C10_C,2.229076303,C10
87,09182 Protein families: genetic information processing,C10_C,9.545551281,C10
88,09183 Protein families: signaling and cellular processes,C10_C,4.356401119,C10
89,09191 Unclassified: metabolism,C10_C,5.082300387,C10
90,Other,C10_C,4.253060654,C10
91,09101 Carbohydrate metabolism,C11_A,16.85187863,C11
92,09102 Energy metabolism,C11_A,8.275673345,C11
